"MP Name","Constituency","State","House","Allocated Amount (₹)","Amount Recommended (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Balance Not Yet Paid to Vendors (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"Shri Harsh Mahajan (2024-30)","Sitting Rajya Sabha","Himachal Pradesh","Rajya Sabha",147000000,119544449,75761105,81.32,154,461,33.41,43783344,476,471,5,"N/A"
"SARABJEET SINGH KHALSA","FARIDKOT","Punjab","Lok Sabha",150850348.15,122584450,95470473,81.26,227,538,42.19,27113977,712,702,10,"N/A"
"S. Jagathrakshakan","ARAKKONAM","Tamil Nadu","Lok Sabha",180589332.34,146686107,57167418,81.23,36,163,22.09,89518689,67,53,14,"N/A"
"Y S Avinash Reddy","KADAPA","Andhra Pradesh","Lok Sabha",156430260.11,127002758,41232850,81.19,57,315,18.1,85769908,89,89,0,"N/A"
"KARTICK CHANDRA PAUL","RAIGANJ","West Bengal","Lok Sabha",202677986.56,164438143,28148611,81.13,99,408,24.26,136289532,102,102,0,"N/A"
"Adv Adoor Prakash ","ATTINGAL","Kerala","Lok Sabha",147000000,119164425,28617364,81.06,108,445,24.27,90547061,115,115,0,"N/A"
"KALI CHARAN MUNDA","KHUNTI","Jharkhand","Lok Sabha",147000000,119080900,77772545,81.01,31,305,10.16,41308355,240,240,0,"N/A"
"Kinjarapu Ram Mohan Naidu","SRIKAKULAM","Andhra Pradesh","Lok Sabha",171200630.11,138619075,55172810,80.97,60,214,28.04,83446265,106,101,5,"N/A"
"Shri Sanjay Singh (2024-30)","Sitting Rajya Sabha","Delhi","Rajya Sabha",184466426.11,149352110,17660934,80.96,17,105,16.19,131691176,23,22,1,"N/A"
"Shri Aditya Prasad (2022-28)","Sitting Rajya Sabha","Jharkhand","Rajya Sabha",227628508.2,184173092,159474868,80.91,141,226,62.39,24698224,383,382,1,"N/A"
"HARIBHAI PATEL","MAHESANA","Gujarat","Lok Sabha",147000000,118878572,51381778,80.87,150,620,24.19,67496794,269,266,3,"N/A"
"PRANITI SUSHILKUMAR SHINDE","SOLAPUR","Maharashtra","Lok Sabha",147000000,118376684,8440395,80.53,2,131,1.53,109936289,9,9,0,"N/A"
"Mansukhbhai Dhanjibhai Vasava","BHARUCH","Gujarat","Lok Sabha",147000000,118371884,70528294,80.53,208,396,52.53,47843590,247,239,8,"N/A"
"Kakoli Ghosh Dastidar ","BARASAT","West Bengal","Lok Sabha",147000000,117928163,61929956,80.22,77,181,42.54,55998207,100,100,0,"N/A"
"Dr. Sikander Kumar (2022-28)","Sitting Rajya Sabha","Himachal Pradesh","Rajya Sabha",207863957.11,166754937.04,127681938.04,80.22,171,394,43.4,39072998.999999985,423,417,6,"N/A"
"Smt. Rekha Sharma (2024-28)","Sitting Rajya Sabha","Haryana","Rajya Sabha",98000000,78438885,14183077,80.04,1,145,0.69,64255808,187,182,5,"N/A"
"Mitesh Rameshbhai Bakabhai Patel","ANAND","Gujarat","Lok Sabha",147000000,117585497,58453147,79.99,247,533,46.34,59132350,295,283,12,5
"Smt. Nirmala Sitharaman (2022-28)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",215972051.45,172686000,91394660,79.96,7,23,30.43,81291340,10,9,1,"N/A"
"Shri Masthan Rao Yadav Beedha (2024-28)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",171296045.11,136413877,35512349,79.64,40,120,33.33,100901528,46,46,0,"N/A"
"SURESH GOPI","THRISSUR","Kerala","Lok Sabha",147000000,117029364,16001891,79.61,15,90,16.67,101027473,21,21,0,"N/A"
"Hasmukh Bhai Soma Bhai Patel","AHMEDABAD EAST","Gujarat","Lok Sabha",147000000,117018098,32021270,79.6,20,197,10.15,84996828,36,36,0,"N/A"
"BHUMARE SANDIPANRAO ASARAM","AURANGABAD","Maharashtra","Lok Sabha",147000000,116994317,52095352,79.59,29,92,31.52,64898965,38,36,2,"N/A"
"Putta Mahesh Kumar","ELURU","Andhra Pradesh","Lok Sabha",147000000,116854934,43504398,79.49,54,113,47.79,73350536,69,68,1,"N/A"
"DR RANI SRI KUMAR","TENKASI","Tamil Nadu","Lok Sabha",153060922.82,121586066,99919930,79.44,102,160,63.75,21666136,123,123,0,"N/A"
"Dr. Abhishek Manu Singhvi (2026-32)","Sitting Rajya Sabha","Telangana","Rajya Sabha",73421449,58300000,0,79.4,0,16,0,58300000,0,0,0,"N/A"
"THANGA TAMILSELVAN","THENI","Tamil Nadu","Lok Sabha",147000000,116573891,49328291,79.3,24,96,25,67245600,56,50,6,"N/A"
"Shri G.C. Chandrashekhar (2024-30)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",147000000,116453370,69767504,79.22,65,200,32.5,46685866,149,146,3,"N/A"
"Shri Chandra Prakash Choudhary","GIRIDIH","Jharkhand","Lok Sabha",147000000,116301602,57353516,79.12,49,674,7.27,58948086,305,270,35,"N/A"
"Rajeshbhai Naranbhai Chudasama","JUNAGADH","Gujarat","Lok Sabha",147000000,116252052,56040284,79.08,152,354,42.94,60211768,176,171,5,"N/A"
"Shri Birendra Prasad Baishya (2025-31)","Sitting Rajya Sabha","Assam","Rajya Sabha",98000000,77500000,27790330,79.08,1,45,2.22,49709670,26,25,1,"N/A"
"SURENDRA PRASAD YADAV","JAHANABAD","Bihar","Lok Sabha",155325714,122571460,71115717,78.91,142,303,46.86,51455743,203,200,3,"N/A"
"Shri Khiru Mahto (2022-28)","Sitting Rajya Sabha","Bihar","Rajya Sabha",235770091.81,185903989,183791258,78.85,171,177,96.61,2112731,176,176,0,"N/A"
"Shri Harbhajan Singh (2022-28)","Sitting Rajya Sabha","Punjab","Rajya Sabha",220984094.27,173949652.52,101056126.52,78.72,77,197,39.09,72893526.00000001,530,527,3,"N/A"
"DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR","Punjab","Lok Sabha",147000000,115689409,75842759,78.7,97,286,33.92,39846650,1276,1254,22,"N/A"
"DR. S P SINGH","PRATAPGARH","Uttar Pradesh","Lok Sabha",147000000,115593071,47950833,78.63,106,600,17.67,67642238,188,107,81,"N/A"
"Shri Benny Behanan","CHALAKUDY","Kerala","Lok Sabha",164674770.11,129377767,29054612,78.57,13,171,7.6,100323155,35,33,2,"N/A"
"YADUVEER KRISHNADATTA CHAMARAJA WADIYAR","MYSORE","Karnataka","Lok Sabha",147000000,115450000,62346570,78.54,34,182,18.68,53103430,178,178,0,"N/A"
"Shri NK Premachandran","KOLLAM","Kerala","Lok Sabha",171477994.11,134638644.34,65801960,78.52,53,196,27.04,68836684.34,106,105,1,"N/A"
"BHARATBHAI MANUBHAI SUTARIYA","AMRELI","Gujarat","Lok Sabha",147000000,115379329,61536765,78.49,156,325,48,53842564,186,182,4,"N/A"
"Gyaneshwar Patil","KHANDWA","Madhya Pradesh","Lok Sabha",155690684.77,122106817,86443874,78.43,164,370,44.32,35662943,471,458,13,"N/A"
"T Sumathy (A) Thamizhachi Thangapandian ","CHENNAI SOUTH","Tamil Nadu","Lok Sabha",147000000,115205616,28530278,78.37,5,31,16.13,86675338,25,25,0,"N/A"
"Shri P. Chidambaram (2022-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",236312242.52,184916919,134466470,78.25,75,144,52.08,50450449,190,189,1,"N/A"
"Shri K.R.N. Rajeshkumar (2022-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",238513975.53,186409814,152999036,78.15,84,102,82.35,33410778,97,96,1,"N/A"
"Dr. Sasmit Patra (2022-28)","Sitting Rajya Sabha","Odisha","Rajya Sabha",196063957.11,152627195,31000333,77.85,44,305,14.43,121626862,123,121,2,"N/A"
"Shri Kumbakudi Sudhakaran","KANNUR","Kerala","Lok Sabha",147000000,114174376,26785182,77.67,63,293,21.5,87389194,98,81,17,"N/A"
"ADITYA YADAV","BADAUN","Uttar Pradesh","Lok Sabha",147000000,113867272,90991162,77.46,41,134,30.6,22876110,207,186,21,"N/A"
"KALIPADA SAREN","JHARGRAM","West Bengal","Lok Sabha",147000000,113497279,71784126,77.21,40,63,63.49,41713153,49,48,1,"N/A"
"CAPTAIN VIRIATO FERNANDES","SOUTH GOA","Goa","Lok Sabha",147000000,113444053,48358008,77.17,47,133,35.34,65086045,78,78,0,"N/A"
"Shri Pabitra Margherita (2022-28)","Sitting Rajya Sabha","Assam","Rajya Sabha",220563957.11,170051035.54,63765614.44,77.1,5,210,2.38,106285421.1,113,113,0,"N/A"
"D Ravikumar ","VILUPPURAM","Tamil Nadu","Lok Sabha",197598306.11,152025450,105671025,76.94,222,288,77.08,46354425,234,229,5,"N/A"
"Smt Harsimrat Kaur Badal","BHATINDA","Punjab","Lok Sabha",159775982.39,122829004,86764668,76.88,147,365,40.27,36064336,1509,1416,93,"N/A"
"Shrirang Appa Barne","MAVAL","Maharashtra","Lok Sabha",147000000,112946842,36220911,76.83,32,111,28.83,76725931,54,53,1,"N/A"
"MADHAVANENI RAGHUNANDAN RAO","MEDAK","Telangana","Lok Sabha",147000000,112814529,30484168,76.74,41,182,22.53,82330361,49,49,0,"N/A"
"Rajiv Pratap Rudy","SARAN","Bihar","Lok Sabha",147000000,112715000,0,76.68,0,12,0,112715000,0,0,0,"N/A"
"Jagannath Sarkar","RANAGHAT","West Bengal","Lok Sabha",147000000,112612025,41712525,76.61,70,219,31.96,70899500,86,86,0,"N/A"
"Shri R. Girirajan (2022-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",236312242.52,180956439,165928789,76.58,151,221,68.33,15027650,191,190,1,"N/A"
"CHHATRA PAL SINGH GANGWAR","BAREILLY","Uttar Pradesh","Lok Sabha",147000000,112521541,95894511,76.55,142,184,77.17,16627030,292,290,2,"N/A"
"Shri Amar Singh","FATEHGARH SAHIB","Punjab","Lok Sabha",147000000,112428591,43758588,76.48,61,351,17.38,68670003,533,523,10,"N/A"
"Smt Himadri Singh","SHAHDOL","Madhya Pradesh","Lok Sabha",150724861.11,115253372,60185831,76.47,45,168,26.79,55067541,187,168,19,"N/A"
"Ravindra Vasantrao Chavan","NANDED","Maharashtra","Lok Sabha",147000000,112097527,42525242,76.26,26,140,18.57,69572285,52,47,5,"N/A"
"KAMLESH JANGDE","JANJGIR CHAMPA","Chhattisgarh","Lok Sabha",150384382.11,114661679,99411941,76.25,254,344,73.84,15249738,602,596,6,"N/A"
"MUKESHKUMAR CHANDRAKAANT DALAL","SURAT","Gujarat","Lok Sabha",147000000,111944052,26395724,76.15,92,215,42.79,85548328,112,112,0,"N/A"
"ROOP KUMARI CHOUDHARY","MAHASAMUND","Chhattisgarh","Lok Sabha",153035414,116384962,76671139,76.05,73,179,40.78,39713823,252,248,4,"N/A"
"Shri Jose K. Mani (2024-30)","Sitting Rajya Sabha","Kerala","Rajya Sabha",122500000,93058963,19384930,75.97,28,182,15.38,73674033,44,44,0,"N/A"
"ARUNA. D. K","MAHABUBNAGAR","Telangana","Lok Sabha",147000000,111450311,44232038,75.82,127,321,39.56,67218273,153,153,0,"N/A"
"PUSHPENDRA SAROJ","KAUSHAMBI","Uttar Pradesh","Lok Sabha",147000000,111314034,56198890,75.72,607,2584,23.49,55115144,907,833,74,"N/A"
"Gajendra Singh Patel","KHARGONE","Madhya Pradesh","Lok Sabha",147000000,111277517,68143099,75.7,104,336,30.95,43134418,383,381,2,"N/A"
"ARUN BHARTI","JAMUI","Bihar","Lok Sabha",194924621.11,147431859,132883940,75.64,218,328,66.46,14547919,306,305,1,"N/A"
"MAHESH KASHYAP","BASTAR","Chhattisgarh","Lok Sabha",147000000,111167508,64495987.5,75.62,38,206,18.45,46671520.5,196,188,8,"N/A"
"Dr. Kavita Patidar (2022-28)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",197118521.35000002,148906747,127377000.12,75.54,142,217,65.44,21529746.879999995,427,426,1,"N/A"
"Shri Jugal Kishore Sharma","JAMMU","Jammu And Kashmir","Lok Sabha",147000000,110993405,30668749,75.51,45,211,21.33,80324656,97,95,2,"N/A"
"Shri Suresh Kodikunnil","MAVELIKKARA","Kerala","Lok Sabha",172429519.11,130007478,42019767,75.4,58,191,30.37,87987711,86,85,1,"N/A"
"Shri Ram Nath Thakur (2026-32)","Sitting Rajya Sabha","Bihar","Rajya Sabha",65673638.730000004,49489900,0,75.36,0,33,0,49489900,0,0,0,"N/A"
"BIPLAB KUMAR DEB","TRIPURA WEST","Tripura","Lok Sabha",147000000,110368188,52876465,75.08,7,32,21.88,57491723,27,26,1,"N/A"
"Shri Gulam Ali (2022-28)","Nominated Rajya Sabha","Jammu And Kashmir","Rajya Sabha",196063957.11,147179063.89,134148715,75.07,156,185,84.32,13030348.889999986,193,190,3,"N/A"
"RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","Gujarat","Lok Sabha",147000000,110209464,26559049,74.97,91,539,16.88,83650415,129,110,19,"N/A"
"Arvind Ganpat Sawant","MUMBAI SOUTH","Maharashtra","Lok Sabha",147000000,110174739,28859509,74.95,14,60,23.33,81315230,18,18,0,"N/A"
"Shri Damodar Rao Divakonda (2022-28)","Sitting Rajya Sabha","Telangana","Rajya Sabha",239919406.11,179745038,77052481,74.92,110,295,37.29,102692557,195,195,0,"N/A"
"Devendra Alias Bhole Singh","AKBARPUR","Uttar Pradesh","Lok Sabha",147000000,110013145,62000186,74.84,62,148,41.89,48012959,98,98,0,"N/A"
"CHIRAG PASWAN","HAJIPUR","Bihar","Lok Sabha",147000000,109916007,53484547,74.77,47,113,41.59,56431460,56,55,1,"N/A"
"Suresh Kumar Kashyap","SHIMLA","Himachal Pradesh","Lok Sabha",153563957.11,114805358,90424211,74.76,83,541,15.34,24381147,591,586,5,"N/A"
"BALWANT BASWANT WANKHADE","AMRAVATI","Maharashtra","Lok Sabha",198293678,148214000,94386242,74.74,51,167,30.54,53827758,121,114,7,"N/A"
"Dr. Ajeet Madhavrao Gopchade (2024-30)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",147000000,109833137,53532752,74.72,44,91,48.35,56300385,52,52,0,"N/A"
"ALFRED KANNGAM S ARTHUR","OUTER MANIPUR","Manipur","Lok Sabha",147000000,109651963,84951963,74.59,15,36,41.67,24700000,72,72,0,"N/A"
"BHUPENDER YADAV","ALWAR","Rajasthan","Lok Sabha",147000000,109636318,59638968,74.58,31,74,41.89,49997350,68,67,1,"N/A"
"Vishnu Dutt Sharma","KHAJURAHO","Madhya Pradesh","Lok Sabha",147000000,109473142,12409947,74.47,3,135,2.22,97063195,25,21,4,"N/A"
"UMMEDA RAM BENIWAL","BARMER","Rajasthan","Lok Sabha",147000000,109334535,66028772,74.38,96,184,52.17,43305763,188,186,2,"N/A"
"EATALA RAJENDER","MALKAJGIRI","Telangana","Lok Sabha",327477390.86,243219278,34708670,74.27,29,300,9.67,208510608,59,53,6,"N/A"
"DHAVAL LAXMANBHAI PATEL","VALSAD","Gujarat","Lok Sabha",147000000,109117733,35423530,74.23,60,233,25.75,73694203,66,65,1,"N/A"
"Shri Madan Rathore (2024-30)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",147000000,109050806,32632145,74.18,21,132,15.91,76418661,229,223,6,"N/A"
"Shri Gurjeet Singh Aujla","AMRITSAR","Punjab","Lok Sabha",147000000,108934778,67674872,74.11,91,281,32.38,41259906,330,325,5,"N/A"
"Jyotsna Charandas Mahant ","KORBA","Chhattisgarh","Lok Sabha",155153738.11,114747960,75564467,73.96,136,310,43.87,39183493,435,428,7,"N/A"
"BAG MITALI","ARAMBAG","West Bengal","Lok Sabha",147000000,108701505,53162451,73.95,90,186,48.39,55539054,100,96,4,"N/A"
"Dr. Parmar Jashvantsinh Salamsinh (2024-30)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",147000000,108602244,38994089,73.88,62,370,16.76,69608155,104,93,11,"N/A"
"Mahendra Singh Solanky","DEWAS","Madhya Pradesh","Lok Sabha",147000000,108538357,42062417,73.84,10,143,6.99,66475940,108,107,1,"N/A"
"Vaithilingam Ve","Puducherry","Puducherry","Lok Sabha",209368972.11,153891559,33557935,73.5,13,75,17.33,120333624,27,22,5,"N/A"
"HARENDRA SINGH MALIK","MUZAFFARNAGAR","Uttar Pradesh","Lok Sabha",147000000,107954919,45924912,73.44,32,221,14.48,62030007,143,121,22,"N/A"
"Dr. K. Laxman (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",197637007.11,145129100,123809716,73.43,275,323,85.14,21319384,323,311,12,"N/A"
"ARUN NEHRU","PERAMBALUR","Tamil Nadu","Lok Sabha",147000000,107833157,69561568,73.36,54,82,65.85,38271589,82,81,1,"N/A"
"ARUN GOVIL","MEERUT","Uttar Pradesh","Lok Sabha",147000000,107650221,66737649,73.23,36,232,15.52,40912572,172,169,3,"N/A"
"GODAM NAGESH","ADILABAD","Telangana","Lok Sabha",147000000,107604990,35717086,73.2,80,357,22.41,71887904,142,142,0,"N/A"
"Daggubati Purandeshwari","RAJAHMUNDRY","Andhra Pradesh","Lok Sabha",147000000,107500000,14394558,73.13,3,37,8.11,93105442,13,13,0,"N/A"
"Ashok Kumar Yadav ","MADHUBANI","Bihar","Lok Sabha",147000000,107242559,70438959,72.95,81,189,42.86,36803600,132,132,0,"N/A"
"Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",196000000,142959046,102738277,72.94,53,108,49.07,40220769,75,75,0,"N/A"
"Vishnu Dayal Ram","PALAMU","Jharkhand","Lok Sabha",158176083.11,115360621,83852477,72.93,117,271,43.17,31508144,333,332,1,"N/A"
"ANGOMCHA BIMOL AKOIJAM","INNER MANIPUR","Manipur","Lok Sabha",147000000,107148946,93860392,72.89,21,47,44.68,13288554,67,67,0,"N/A"
"Dr. Syed Naseer Hussain (2024-30)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",147000000,106990000,52745755,72.78,3,69,4.35,54244245,44,44,0,"N/A"
"Rajkumar Chahar ","FATEHPUR SIKRI","Uttar Pradesh","Lok Sabha",147000000,106977092,96369831,72.77,45,50,90,10607261,92,92,0,"N/A"
"Shri Jairam Ramesh (2022-28)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",220563957.11,160447985,73553485,72.74,18,127,14.17,86894500,79,78,1,"N/A"
"DR.K.SUDHAKAR","CHIKBALLAPUR","Karnataka","Lok Sabha",147000000,106674028,38953975,72.57,18,164,10.98,67720053,138,134,4,"N/A"
"Shatrughan Sinha","ASANSOL","West Bengal","Lok Sabha",147000000,106621025,66966504,72.53,5,36,13.89,39654521,20,20,0,"N/A"
"Annpurna Devi ","KODARMA","Jharkhand","Lok Sabha",166665931.8,120671517,42079828,72.4,85,392,21.68,78591689,146,137,9,"N/A"
"Smt. Maya Naroliya (2024-30)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",147000000,106292558,70791767,72.31,16,156,10.26,35500791,181,172,9,"N/A"
"Bhagirath Chaudhary","AJMER","Rajasthan","Lok Sabha",147000000,106250674,47945999,72.28,58,155,37.42,58304675,643,557,86,"N/A"
"Shri Yerram Venkata Subba Reddy (2024-30)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",147000000,106057085,33232213,72.15,38,142,26.76,72824872,72,69,3,"N/A"
"Amol Ramsing Kolhe","SHIRUR","Maharashtra","Lok Sabha",147000000,105981153,21557613,72.1,15,111,13.51,84423540,26,25,1,"N/A"
"RAJEEV RAI","GHOSI","Uttar Pradesh","Lok Sabha",147000000,105878306,66462043,72.03,108,272,39.71,39416263,311,310,1,"N/A"
"K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","Karnataka","Lok Sabha",147000000,105810099,66577182,71.98,67,193,34.72,39232917,200,200,0,"N/A"
"LAXMIKANT PAPPU NISHAD","SANT KABIR NAGAR","Uttar Pradesh","Lok Sabha",147000000,105543227,27502127,71.8,2,505,0.4,78041100,38,8,30,"N/A"
"Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Tamil Nadu","Lok Sabha",196905535.11,141333138,71998395,71.78,63,126,50,69334743,90,90,0,"N/A"
"KALI CHARAN SINGH","CHATRA","Jharkhand","Lok Sabha",147000000,105485624,51084747,71.76,75,511,14.68,54400877,296,265,31,"N/A"
"Shri Shantanu Thakur ","BANGAON","West Bengal","Lok Sabha",147000000,105418836,5993836,71.71,8,58,13.79,99425000,8,8,0,"N/A"
"ANAND BHADAURIYA","DHAURAHRA","Uttar Pradesh","Lok Sabha",147000000,105398057.33,78958947,71.7,132,184,71.74,26439110.33,373,360,13,"N/A"
"Shri Jayant Chaudhary (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",214074707.67000002,153464505,43141697,71.69,8,24,33.33,110322808,25,22,3,"N/A"
"Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","Karnataka","Lok Sabha",167541747.11,119890438,64488186,71.56,92,225,40.89,55402252,237,232,5,"N/A"
"Omprakash Bhupalsinh Alias Pawan Rajenimbalkar","OSMANABAD","Maharashtra","Lok Sabha",184758519.11,132159818,28008430,71.53,30,190,15.79,104151388,44,41,3,"N/A"
"DAMODAR AGARWAL","BHILWARA","Rajasthan","Lok Sabha",147000000,105136339,59365927,71.52,105,250,42,45770412,854,796,58,"N/A"
"Shri Nagendra Ray (2023-29)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",171500000,122435034.68,91735859,71.39,2,22,9.09,30699175.680000007,14,13,1,"N/A"
"SHREYAS. M. PATEL","HASSAN","Karnataka","Lok Sabha",147000000,104821153,58673951,71.31,35,204,17.16,46147202,181,177,4,"N/A"
"Shri Derek O' Brien (2023-29)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",171500000,122271928,70787264,71.3,0,35,0,51484664,16,16,0,"N/A"
"Ms. Dola Sen (2023-29)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",171500000,122263190,69414332,71.29,1,27,3.7,52848858,20,20,0,"N/A"
"SELJA","SIRSA","Haryana","Lok Sabha",147000000,104747841,26548478,71.26,59,312,18.91,78199363,152,137,15,"N/A"
"Gumma Thanuja Rani","ARAKU","Andhra Pradesh","Lok Sabha",149458905.11,106480215,74148372,71.24,28,138,20.29,32331843,92,86,6,"N/A"
"Shri Samirul Islam (2023-29)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",171500000,121458527,71238651,70.82,0,57,0,50219876,17,17,0,"N/A"
"JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR","West Bengal","Lok Sabha",168604641.11,119356958,36689865,70.79,1,96,1.04,82667093,41,41,0,"N/A"
"Smt. P. T. Usha (2022-28)","Nominated Rajya Sabha","Kerala","Rajya Sabha",196063957.11,138646464,55206130,70.71,39,121,32.23,83440334,77,76,1,"N/A"
"GAURAV GOGOI","JORHAT","Assam","Lok Sabha",147000000,103945782,40746858,70.71,35,468,7.48,63198924,458,457,1,"N/A"
"Shri Neeraj Shekhar (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",236483662.11,167023319,90266672,70.63,41,327,12.54,76756647,176,176,0,"N/A"
"Maddila Gurumoorthy","TIRUPATI","Andhra Pradesh","Lok Sabha",180399007,127353086,64637243,70.6,110,290,37.93,62715843,168,149,19,"N/A"
"Shri I.S. Inbadurai (2025-31)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",89248285.42,63002801,15065385,70.59,15,83,18.07,47937416,31,31,0,"N/A"
"RAJABHAU","NASHIK","Maharashtra","Lok Sabha",152878682.11,107720864,47487714,70.46,21,110,19.09,60233150,50,45,5,"N/A"
"MALVIKA DEVI","KALAHANDI","Odisha","Lok Sabha",147000000,103289000,51104998,70.26,96,320,30,52184002,131,130,1,"N/A"
"Prasun Banerjee","HOWRAH","West Bengal","Lok Sabha",147000000,103186031,70699743,70.19,136,227,59.91,32486288,158,146,12,"N/A"
"VIRENDRA SINGH","CHANDAULI","Uttar Pradesh","Lok Sabha",147000000,103143714,86345853,70.17,13,32,40.63,16797861,49,45,4,"N/A"
"Prabhubhai Nagarbhai Vasava","BARDOLI","Gujarat","Lok Sabha",147000000,103087136,27468376,70.13,62,331,18.73,75618760,84,83,1,"N/A"
"Jitendra Singh","UDHAMPUR","Jammu And Kashmir","Lok Sabha",147000000,102965673,48296699,70.04,187,326,57.36,54668974,221,221,0,"N/A"
"SHAFI PARAMBIL","VADAKARA","Kerala","Lok Sabha",147000000,102753500,15909800,69.9,15,244,6.15,86843700,56,56,0,"N/A"
"Shri P. P. Suneer (2024-30)","Sitting Rajya Sabha","Kerala","Rajya Sabha",122500000,85608775,18439441,69.88,19,90,21.11,67169334,31,31,0,"N/A"
"Shri Pramod Tiwari (2022-28)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",196063957.11,136841358,101024659,69.79,65,130,50,35816699,220,218,2,"N/A"
"M.K. VISHNUPRASAD","CUDDALORE","Tamil Nadu","Lok Sabha",147000000,102530543,71744686,69.75,74,117,63.25,30785857,91,90,1,"N/A"
"Ms Mahua Moitra","KRISHNANAGAR","West Bengal","Lok Sabha",159865046,111302619,57382120,69.62,23,55,41.82,53920499,49,49,0,"N/A"
"GURMEET SINGH MEET HAYER","SANGRUR","Punjab","Lok Sabha",147000000,102301198,57218972,69.59,154,391,39.39,45082226,661,635,26,"N/A"
"Sasikanth Senthil","TIRUVALLUR","Tamil Nadu","Lok Sabha",171500000,119314874,89733784,69.57,87,182,47.8,29581090,134,133,1,"N/A"
"DURAI VAIKO","TIRUCHIRAPPALLI","Tamil Nadu","Lok Sabha",147000000,102033829,66737879,69.41,45,80,56.25,35295950,59,53,6,"N/A"
"Dr. Medha Vishram Kulkarni (2024-30)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",147000000,101856671,41737818,69.29,31,105,29.52,60118853,49,49,0,"N/A"
"TOKHAN SAHU","BILASPUR","Chhattisgarh","Lok Sabha",147000000,101855274,55824852,69.29,41,131,31.3,46030422,158,152,6,"N/A"
"Swami Sachchidanandhari Sakshi ji Maharaj ","UNNAO","Uttar Pradesh","Lok Sabha",147000000,101824036,68421377,69.27,12,88,13.64,33402659,69,62,7,"N/A"
"Raju Bista","DARJEELING","West Bengal","Lok Sabha",147000000,101800825,43617451,69.25,82,169,48.52,58183374,92,92,0,"N/A"
"DR.MALLU RAVI","NAGARKURNOOL","Telangana","Lok Sabha",147000000,101693728,47000729,69.18,143,227,63,54692999,156,156,0,"N/A"
"Shri Rajib Bhattacharjee (2024-28)","Sitting Rajya Sabha","Tripura","Rajya Sabha",122500000,84649344,34210580,69.1,18,58,31.03,50438764,39,37,2,"N/A"
"Smt. Jebi Mather Hisham (2022-28)","Sitting Rajya Sabha","Kerala","Rajya Sabha",220563957.11,152298345,54661936,69.05,49,119,41.18,97636409,76,75,1,"N/A"
"Dr. V. Sivadasan (2021-27)","Sitting Rajya Sabha","Kerala","Rajya Sabha",276720323.27,191022745,24863346,69.03,14,63,22.22,166159399,45,45,0,"N/A"
"Shri vijayakumar Vasanth","KANNIYAKUMARI","Tamil Nadu","Lok Sabha",171500000,118368762,61773452,69.02,39,101,38.61,56595310,67,65,2,"N/A"
"CHINTAMANI MAHARAJ","SARGUJA","Chhattisgarh","Lok Sabha",147000000,101457500,61420121,69.02,70,330,21.21,40037379,372,365,7,"N/A"
"Smt Dimple Yadav","MAINPURI","Uttar Pradesh","Lok Sabha",192042469.11,132519146,71873231,69.01,53,164,32.32,60645915,149,125,24,"N/A"
"Shri Kesridevsinh Jhala (2023-29)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",171500000,118319535,26663551,68.99,21,144,14.58,91655984,52,51,1,"N/A"
"Smt Aparajita Sarangi","BHUBANESWAR","Odisha","Lok Sabha",147420861.41,101650000,32303960,68.95,47,277,16.97,69346040,229,211,18,"N/A"
