"MP Name","Constituency","State","House","Allocated Amount (₹)","Amount Recommended (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Balance Not Yet Paid to Vendors (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"Shri Nitin Nabin (2026-32)","Sitting Rajya Sabha","Bihar","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Parth Ajit Pawar (2026-32)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Prakash Chik Baraik (2026-29)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",49662892,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Rajeev Kumar (2026-32)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Rajesh Parmanand Shukla (2026-32)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Rajinder Gupta (2025-28)","Sitting Rajya Sabha","Punjab","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Rajneesh Kumar Agrawal (2026-32)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Ramrao Sakharam Wadkute (2026-32)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Sana Sathish Babu (2026-32)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",49063978,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Shivesh Kumar (2026-32)","Sitting Rajya Sabha","Bihar","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Tai Tagak (2026-32)","Sitting Rajya Sabha","Arunachal Pradesh","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Tarun Chugh (2026-32)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Terash Gowalla (2026-32)","Sitting Rajya Sabha","Assam","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Tiruchi Siva (2026-32)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49356476.5,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Ujjwal Deorao Nikam (2025-31)","Nominated Rajya Sabha","Maharashtra","Rajya Sabha",73500000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Vijay Chintakayala (2026-32)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Shri Vinod Shridhar Tawde (2026-32)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",49000000,0,0,0,0,0,0,0,0,0,0,"N/A"
